OrderID,Date,CustomerID,Region,Channel,Category,Product,Quantity,UnitPrice_KES,Revenue_KES,PaymentMethod
ORD0026,22/03/2026,CUST116,Nairobi,Online,Electronics,Keyboard,1,3200,3200,M-Pesa
ORD0027,07/03/2026,CUST028,Mombasa,Online,Home & Office,Office Chair,4,14500,58000,Cash
ORD0028,15/03/2026,CUST104,Nakuru,In-Store,Accessories,Charging Cable,4,950,3800,M-Pesa
ORD0029,26/03/2026,CUST053,Nakuru,Online,Accessories,Laptop Sleeve,4,2600,10400,M-Pesa
ORD0030,28/03/2026,CUST094,Kisumu,Online,Electronics,Wireless Mouse,4,1800,7200,M-Pesa
ORD0031,01/02/2026,CUST058,Mombasa,In-Store,Home & Office,Notebook Pack,5,900,4500,Card
ORD0032,01/03/2026,CUST104,Nairobi,In-Store,Home & Office,Desk Lamp,4,2800,11200,Cash
ORD0033,02/01/2026,CUST053,Nakuru,In-Store,Electronics,Keyboard,2,3200,6400,Card
ORD0034,08/01/2026,CUST050,Kisumu,Online,Home & Office,Water Bottle,1,1500,1500,Card
ORD0035,06/02/2026,CUST020,Mombasa,In-Store,Accessories,Smart Watch Strap,4,1400,5600,M-Pesa
ORD0036,16/03/2026,CUST007,Nakuru,In-Store,Electronics,USB-C Hub,1,4500,4500,Cash
ORD0037,21/01/2026,CUST109,Mombasa,In-Store,Electronics,Bluetooth Speaker,1,5200,5200,M-Pesa
ORD0038,28/03/2026,CUST114,Mombasa,In-Store,Home & Office,Water Bottle,1,1500,1500,M-Pesa
ORD0039,21/03/2026,CUST073,Kisumu,Online,Electronics,Power Bank,5,3500,17500,M-Pesa
ORD0040,27/03/2026,CUST051,Mombasa,Online,Personal Care,Electric Shaver,3,6500,19500,Card
ORD0041,28/02/2026,CUST059,Nairobi,In-Store,Personal Care,Hair Dryer,1,4800,4800,M-Pesa
ORD0042,06/03/2026,CUST113,Nairobi,Online,Personal Care,Electric Shaver,3,6500,19500,Card
ORD0043,06/02/2026,CUST091,Kisumu,In-Store,Home & Office,Water Bottle,5,1500,7500,Cash
ORD0044,09/03/2026,CUST120,Nairobi,Online,Electronics,Bluetooth Speaker,3,5200,15600,M-Pesa
ORD0045,03/02/2026,CUST020,Kisumu,In-Store,Electronics,Wireless Mouse,5,1800,9000,M-Pesa
ORD0046,13/02/2026,CUST063,Kisumu,Online,Home & Office,Office Chair,5,14500,72500,M-Pesa
ORD0047,12/01/2026,CUST001,Kisumu,Online,Accessories,Laptop Sleeve,1,2600,2600,Cash
ORD0048,03/02/2026,CUST091,Nakuru,In-Store,Home & Office,Water Bottle,5,1500,7500,M-Pesa
ORD0049,10/01/2026,CUST107,Kisumu,In-Store,Home & Office,Backpack,1,4200,4200,M-Pesa
ORD0050,25/02/2026,CUST047,Nairobi,Online,Home & Office,Desk Lamp,3,2800,8400,M-Pesa
ORD0051,29/03/2026,CUST100,Nakuru,Online,Home & Office,Desk Lamp,3,2800,8400,Cash
ORD0052,20/01/2026,CUST113,Nakuru,In-Store,Home & Office,Notebook Pack,2,900,1800,Cash
ORD0053,12/02/2026,CUST021,Nairobi,In-Store,Accessories,Charging Cable,3,950,2850,M-Pesa
ORD0054,02/03/2026,CUST045,Kisumu,Online,Home & Office,Notebook Pack,4,900,3600,M-Pesa
ORD0055,29/01/2026,CUST043,Kisumu,Online,Electronics,Keyboard,4,3200,12800,Card
ORD0056,14/02/2026,CUST004,Nairobi,Online,Accessories,Smart Watch Strap,3,1400,4200,Card
ORD0057,23/01/2026,CUST077,Nakuru,In-Store,Personal Care,Hair Dryer,1,4800,4800,Card
ORD0058,25/02/2026,CUST025,Kisumu,In-Store,Electronics,Power Bank,5,3500,17500,Card
ORD0059,01/01/2026,CUST009,Kisumu,Online,Home & Office,Office Chair,4,14500,58000,Cash
ORD0060,16/01/2026,CUST086,Nakuru,In-Store,Personal Care,Face Cleanser,3,1600,4800,Cash
ORD0061,07/02/2026,CUST086,Nakuru,Online,Home & Office,Notebook Pack,4,900,3600,M-Pesa
ORD0062,20/03/2026,CUST107,Nairobi,In-Store,Personal Care,Perfume,5,5500,27500,M-Pesa
ORD0063,25/02/2026,CUST057,Mombasa,In-Store,Personal Care,Perfume,4,5500,22000,Cash
ORD0064,22/01/2026,CUST085,Kisumu,In-Store,Electronics,USB-C Hub,5,4500,22500,M-Pesa
ORD0065,28/03/2026,CUST019,Nairobi,In-Store,Personal Care,Electric Shaver,2,6500,13000,Card
ORD0066,20/03/2026,CUST114,Mombasa,Online,Electronics,Power Bank,4,3500,14000,Card
ORD0067,05/03/2026,CUST084,Nairobi,Online,Accessories,Charging Cable,2,950,1900,M-Pesa
ORD0068,24/02/2026,CUST060,Nairobi,In-Store,Home & Office,Notebook Pack,5,900,4500,M-Pesa
ORD0069,28/02/2026,CUST072,Kisumu,Online,Home & Office,Water Bottle,5,1500,7500,Card
ORD0070,20/03/2026,CUST115,Mombasa,Online,Accessories,Smart Watch Strap,4,1400,5600,Card
ORD0071,27/02/2026,CUST099,Nakuru,Online,Personal Care,Electric Shaver,3,6500,19500,Card
ORD0072,26/02/2026,CUST035,Kisumu,In-Store,Electronics,USB-C Hub,2,4500,9000,Cash
ORD0073,11/01/2026,CUST050,Mombasa,Online,Home & Office,Notebook Pack,2,900,1800,M-Pesa
ORD0074,23/02/2026,CUST060,Nakuru,In-Store,Accessories,Laptop Sleeve,5,2600,13000,Card
ORD0075,19/02/2026,CUST062,Nairobi,Online,Electronics,Bluetooth Speaker,4,5200,20800,Card
ORD0076,19/02/2026,CUST103,Mombasa,In-Store,Accessories,Smart Watch Strap,5,1400,7000,Card
ORD0077,25/02/2026,CUST044,Nakuru,Online,Accessories,Phone Case,4,1100,4400,Card
ORD0078,17/01/2026,CUST073,Nairobi,In-Store,Electronics,Power Bank,5,3500,17500,Card
ORD0079,18/01/2026,CUST034,Nakuru,In-Store,Accessories,Charging Cable,1,950,950,Card
ORD0080,11/02/2026,CUST097,Nakuru,In-Store,Personal Care,Perfume,3,5500,16500,M-Pesa
ORD0081,02/03/2026,CUST045,Mombasa,Online,Electronics,Bluetooth Speaker,1,5200,5200,Cash
ORD0082,06/01/2026,CUST108,Nairobi,Online,Electronics,Keyboard,2,3200,6400,M-Pesa
ORD0083,17/01/2026,CUST028,Nakuru,Online,Accessories,Phone Case,5,1100,5500,Card
ORD0084,22/01/2026,CUST014,Nairobi,Online,Electronics,Keyboard,3,3200,9600,Cash
ORD0085,28/03/2026,CUST010,Mombasa,In-Store,Accessories,Earphones,2,3000,6000,Card
ORD0086,29/03/2026,CUST045,Nakuru,Online,Electronics,Bluetooth Speaker,1,5200,5200,M-Pesa
ORD0087,06/03/2026,CUST106,Nakuru,In-Store,Personal Care,Hair Dryer,4,4800,19200,Card
ORD0088,23/03/2026,CUST023,Kisumu,In-Store,Accessories,Charging Cable,4,950,3800,Cash
ORD0089,03/03/2026,CUST035,Kisumu,Online,Accessories,Earphones,5,3000,15000,M-Pesa
ORD0090,05/02/2026,CUST073,Nakuru,In-Store,Accessories,Charging Cable,4,950,3800,Card
ORD0091,11/02/2026,CUST046,Kisumu,In-Store,Home & Office,Water Bottle,2,1500,3000,Cash
ORD0092,31/03/2026,CUST067,Mombasa,In-Store,Personal Care,Face Cleanser,1,1600,1600,Cash
ORD0093,22/02/2026,CUST089,Nakuru,Online,Accessories,Smart Watch Strap,2,1400,2800,Card
ORD0094,27/02/2026,CUST029,Nakuru,Online,Electronics,Wireless Mouse,3,1800,5400,Card
ORD0095,26/03/2026,CUST068,Kisumu,In-Store,Personal Care,Perfume,5,5500,27500,Cash
ORD0096,12/03/2026,CUST035,Kisumu,In-Store,Personal Care,Body Lotion,4,1200,4800,M-Pesa
ORD0097,25/01/2026,CUST098,Mombasa,In-Store,Personal Care,Hair Dryer,5,4800,24000,Cash
ORD0098,03/03/2026,CUST077,Kisumu,Online,Personal Care,Face Cleanser,5,1600,8000,M-Pesa
ORD0099,07/02/2026,CUST039,Nairobi,Online,Home & Office,Office Chair,2,14500,29000,M-Pesa
ORD0100,05/02/2026,CUST038,Mombasa,Online,Electronics,Wireless Mouse,5,1800,9000,Card
ORD0101,14/01/2026,CUST061,Nakuru,In-Store,Electronics,Bluetooth Speaker,3,5200,15600,M-Pesa
ORD0102,07/01/2026,CUST106,Nairobi,In-Store,Personal Care,Perfume,1,5500,5500,M-Pesa
ORD0103,15/03/2026,CUST104,Kisumu,In-Store,Electronics,Keyboard,2,3200,6400,M-Pesa
ORD0104,16/01/2026,CUST102,Mombasa,Online,Accessories,Smart Watch Strap,5,1400,7000,Card
ORD0105,27/02/2026,CUST055,Kisumu,In-Store,Accessories,Laptop Sleeve,5,2600,13000,M-Pesa
ORD0106,20/03/2026,CUST034,Nairobi,In-Store,Electronics,Keyboard,2,3200,6400,M-Pesa
ORD0107,12/03/2026,CUST053,Nakuru,Online,Electronics,Keyboard,1,3200,3200,Card
ORD0108,07/02/2026,CUST091,Kisumu,Online,Electronics,Keyboard,3,3200,9600,Card
ORD0109,10/01/2026,CUST085,Mombasa,In-Store,Home & Office,Office Chair,5,14500,72500,Cash
ORD0110,29/01/2026,CUST010,Nairobi,In-Store,Home & Office,Office Chair,2,14500,29000,Card
ORD0111,18/03/2026,CUST060,Kisumu,Online,Personal Care,Perfume,1,5500,5500,Card
ORD0112,06/03/2026,CUST077,Nairobi,Online,Accessories,Earphones,1,3000,3000,Cash
ORD0113,11/02/2026,CUST030,Nairobi,Online,Personal Care,Hair Dryer,1,4800,4800,Cash
ORD0114,04/02/2026,CUST067,Nakuru,Online,Electronics,Keyboard,4,3200,12800,M-Pesa
ORD0115,16/03/2026,CUST061,Kisumu,In-Store,Accessories,Earphones,1,3000,3000,Card
ORD0116,27/03/2026,CUST053,Nakuru,In-Store,Electronics,Keyboard,3,3200,9600,Card
ORD0117,12/03/2026,CUST041,Kisumu,In-Store,Electronics,Power Bank,1,3500,3500,Card
ORD0118,07/03/2026,CUST053,Nairobi,In-Store,Electronics,Bluetooth Speaker,4,5200,20800,Card
ORD0119,21/03/2026,CUST027,Kisumu,In-Store,Accessories,Earphones,1,3000,3000,Card
ORD0120,26/02/2026,CUST081,Mombasa,Online,Accessories,Phone Case,1,1100,1100,Card
ORD0121,12/03/2026,CUST012,Mombasa,Online,Electronics,Bluetooth Speaker,4,5200,20800,M-Pesa
ORD0122,01/03/2026,CUST120,Kisumu,In-Store,Electronics,Keyboard,4,3200,12800,Card
ORD0123,23/02/2026,CUST059,Mombasa,In-Store,Accessories,Earphones,2,3000,6000,Cash
ORD0124,07/03/2026,CUST099,Nakuru,In-Store,Home & Office,Desk Lamp,3,2800,8400,Cash
ORD0125,04/02/2026,CUST108,Nakuru,Online,Electronics,USB-C Hub,3,4500,13500,Card
ORD0126,10/03/2026,CUST071,Nakuru,In-Store,Accessories,Laptop Sleeve,3,2600,7800,Card
ORD0127,25/01/2026,CUST030,Nakuru,In-Store,Home & Office,Backpack,4,4200,16800,Cash
ORD0128,02/03/2026,CUST064,Nairobi,In-Store,Accessories,Earphones,2,3000,6000,Cash
ORD0129,12/02/2026,CUST068,Nakuru,In-Store,Electronics,Power Bank,1,3500,3500,M-Pesa
ORD0130,22/02/2026,CUST101,Kisumu,In-Store,Home & Office,Desk Lamp,4,2800,11200,Cash
ORD0131,20/02/2026,CUST049,Kisumu,Online,Electronics,USB-C Hub,5,4500,22500,Card
ORD0132,11/03/2026,CUST031,Kisumu,Online,Electronics,Bluetooth Speaker,1,5200,5200,Cash
ORD0133,12/01/2026,CUST057,Mombasa,Online,Accessories,Phone Case,1,1100,1100,M-Pesa
ORD0134,06/01/2026,CUST046,Kisumu,In-Store,Personal Care,Hair Dryer,3,4800,14400,M-Pesa
ORD0135,09/03/2026,CUST022,Mombasa,In-Store,Accessories,Smart Watch Strap,2,1400,2800,Card
ORD0136,21/03/2026,CUST019,Mombasa,In-Store,Home & Office,Water Bottle,5,1500,7500,Card
ORD0137,28/02/2026,CUST116,Kisumu,Online,Personal Care,Hair Dryer,4,4800,19200,M-Pesa
ORD0138,10/01/2026,CUST039,Nakuru,Online,Accessories,Laptop Sleeve,5,2600,13000,Card
ORD0139,08/02/2026,CUST014,Mombasa,In-Store,Home & Office,Water Bottle,4,1500,6000,Card
ORD0140,15/03/2026,CUST107,Nakuru,In-Store,Personal Care,Body Lotion,1,1200,1200,Cash
ORD0141,29/03/2026,CUST107,Kisumu,Online,Electronics,Bluetooth Speaker,4,5200,20800,M-Pesa
ORD0142,19/03/2026,CUST080,Kisumu,Online,Personal Care,Electric Shaver,2,6500,13000,Cash
ORD0143,26/03/2026,CUST040,Nakuru,In-Store,Home & Office,Desk Lamp,1,2800,2800,Card
ORD0144,17/01/2026,CUST096,Nakuru,In-Store,Electronics,USB-C Hub,3,4500,13500,M-Pesa
ORD0145,11/03/2026,CUST117,Kisumu,Online,Personal Care,Face Cleanser,5,1600,8000,Card
ORD0146,03/03/2026,CUST060,Nairobi,In-Store,Personal Care,Body Lotion,1,1200,1200,M-Pesa
ORD0147,28/03/2026,CUST012,Nakuru,In-Store,Accessories,Smart Watch Strap,3,1400,4200,Cash
ORD0148,16/01/2026,CUST075,Nakuru,Online,Accessories,Laptop Sleeve,3,2600,7800,Card
ORD0149,14/01/2026,CUST080,Kisumu,Online,Home & Office,Water Bottle,1,1500,1500,M-Pesa
ORD0150,24/03/2026,CUST084,Nakuru,In-Store,Electronics,Power Bank,3,3500,10500,M-Pesa
ORD0151,05/01/2026,CUST013,Mombasa,Online,Personal Care,Perfume,1,5500,5500,M-Pesa
ORD0152,19/02/2026,CUST054,Mombasa,Online,Accessories,Laptop Sleeve,5,2600,13000,Cash
ORD0153,13/01/2026,CUST036,Nairobi,Online,Accessories,Smart Watch Strap,4,1400,5600,M-Pesa
ORD0154,26/02/2026,CUST013,Kisumu,In-Store,Accessories,Charging Cable,3,950,2850,Cash
ORD0155,15/02/2026,CUST025,Nairobi,Online,Electronics,Power Bank,3,3500,10500,Card
ORD0156,12/01/2026,CUST007,Kisumu,In-Store,Home & Office,Backpack,1,4200,4200,M-Pesa
ORD0157,14/03/2026,CUST027,Mombasa,Online,Home & Office,Desk Lamp,5,2800,14000,M-Pesa
ORD0158,12/02/2026,CUST036,Mombasa,Online,Home & Office,Backpack,1,4200,4200,Cash
ORD0159,02/02/2026,CUST017,Nairobi,In-Store,Home & Office,Desk Lamp,1,2800,2800,M-Pesa
ORD0160,17/03/2026,CUST034,Nairobi,In-Store,Personal Care,Hair Dryer,2,4800,9600,Card
ORD0161,09/03/2026,CUST058,Kisumu,In-Store,Electronics,Wireless Mouse,4,1800,7200,M-Pesa
ORD0162,27/02/2026,CUST094,Kisumu,In-Store,Home & Office,Backpack,1,4200,4200,M-Pesa
ORD0163,08/01/2026,CUST088,Nairobi,In-Store,Accessories,Earphones,4,3000,12000,Card
ORD0164,10/01/2026,CUST019,Nairobi,In-Store,Electronics,USB-C Hub,5,4500,22500,Cash
ORD0165,23/03/2026,CUST068,Kisumu,In-Store,Personal Care,Perfume,5,5500,27500,Cash
ORD0166,25/02/2026,CUST093,Mombasa,In-Store,Electronics,Wireless Mouse,5,1800,9000,M-Pesa
ORD0167,22/02/2026,CUST054,Nairobi,In-Store,Personal Care,Perfume,4,5500,22000,Card
ORD0168,27/03/2026,CUST088,Nakuru,In-Store,Personal Care,Body Lotion,2,1200,2400,M-Pesa
ORD0169,12/01/2026,CUST104,Mombasa,In-Store,Accessories,Phone Case,3,1100,3300,Cash
ORD0170,13/03/2026,CUST046,Nakuru,Online,Personal Care,Hair Dryer,4,4800,19200,Cash
ORD0171,07/01/2026,CUST046,Nairobi,In-Store,Personal Care,Face Cleanser,3,1600,4800,M-Pesa
ORD0172,20/01/2026,CUST045,Kisumu,In-Store,Accessories,Charging Cable,1,950,950,Card
ORD0173,15/03/2026,CUST099,Nairobi,In-Store,Home & Office,Water Bottle,5,1500,7500,Cash
ORD0174,30/03/2026,CUST035,Kisumu,Online,Personal Care,Hair Dryer,2,4800,9600,Card
ORD0175,01/01/2026,CUST085,Nakuru,In-Store,Home & Office,Notebook Pack,5,900,4500,Cash
ORD0176,23/03/2026,CUST028,Nakuru,In-Store,Electronics,Wireless Mouse,5,1800,9000,Card
ORD0177,21/01/2026,CUST100,Nairobi,Online,Personal Care,Body Lotion,3,1200,3600,M-Pesa
ORD0178,21/01/2026,CUST057,Nakuru,In-Store,Electronics,Wireless Mouse,3,1800,5400,Card
ORD0179,23/02/2026,CUST015,Kisumu,In-Store,Personal Care,Electric Shaver,5,6500,32500,Card
ORD0180,28/03/2026,CUST006,Mombasa,In-Store,Accessories,Smart Watch Strap,3,1400,4200,Cash
ORD0181,08/01/2026,CUST028,Mombasa,Online,Electronics,Keyboard,3,3200,9600,Card
ORD0182,11/02/2026,CUST096,Nakuru,In-Store,Electronics,Wireless Mouse,4,1800,7200,Card
ORD0183,10/03/2026,CUST107,Kisumu,In-Store,Home & Office,Backpack,5,4200,21000,Cash
ORD0184,06/01/2026,CUST118,Nairobi,Online,Accessories,Phone Case,4,1100,4400,Cash
ORD0185,24/02/2026,CUST015,Nakuru,In-Store,Accessories,Earphones,3,3000,9000,Card
ORD0186,22/01/2026,CUST056,Nairobi,In-Store,Accessories,Laptop Sleeve,1,2600,2600,Cash
ORD0187,21/02/2026,CUST096,Kisumu,In-Store,Electronics,Power Bank,3,3500,10500,M-Pesa
ORD0188,10/01/2026,CUST025,Kisumu,In-Store,Electronics,Bluetooth Speaker,5,5200,26000,Cash
ORD0189,19/01/2026,CUST033,Mombasa,In-Store,Home & Office,Desk Lamp,2,2800,5600,M-Pesa
ORD0190,25/03/2026,CUST060,Nakuru,Online,Electronics,Keyboard,4,3200,12800,Cash
ORD0191,24/03/2026,CUST057,Nairobi,In-Store,Personal Care,Body Lotion,2,1200,2400,Cash
ORD0192,08/02/2026,CUST046,Nairobi,In-Store,Personal Care,Face Cleanser,1,1600,1600,Card
ORD0193,05/01/2026,CUST010,Nairobi,In-Store,Electronics,USB-C Hub,3,4500,13500,Cash
ORD0194,19/02/2026,CUST102,Nairobi,In-Store,Accessories,Smart Watch Strap,5,1400,7000,Cash
ORD0195,25/03/2026,CUST061,Mombasa,Online,Home & Office,Office Chair,5,14500,72500,Card
ORD0196,14/01/2026,CUST083,Mombasa,In-Store,Personal Care,Hair Dryer,5,4800,24000,Cash
ORD0197,26/02/2026,CUST079,Mombasa,In-Store,Accessories,Smart Watch Strap,5,1400,7000,Card
ORD0198,19/02/2026,CUST007,Kisumu,In-Store,Accessories,Laptop Sleeve,5,2600,13000,M-Pesa
ORD0199,13/03/2026,CUST093,Mombasa,In-Store,Accessories,Laptop Sleeve,3,2600,7800,Cash
ORD0200,26/03/2026,CUST084,Nakuru,In-Store,Home & Office,Office Chair,3,14500,43500,Cash
ORD0201,11/01/2026,CUST083,Kisumu,Online,Personal Care,Face Cleanser,4,1600,6400,Cash
ORD0202,31/03/2026,CUST047,Nairobi,In-Store,Electronics,Power Bank,5,3500,17500,M-Pesa
ORD0203,28/01/2026,CUST029,Mombasa,In-Store,Personal Care,Perfume,2,5500,11000,Card
ORD0204,13/01/2026,CUST017,Nakuru,In-Store,Electronics,USB-C Hub,5,4500,22500,M-Pesa
ORD0205,30/03/2026,CUST053,Kisumu,Online,Home & Office,Water Bottle,1,1500,1500,M-Pesa
ORD0206,26/02/2026,CUST069,Mombasa,In-Store,Personal Care,Perfume,2,5500,11000,Card
ORD0207,25/01/2026,CUST060,Kisumu,Online,Personal Care,Face Cleanser,4,1600,6400,Cash
ORD0208,09/03/2026,CUST103,Mombasa,Online,Accessories,Charging Cable,2,950,1900,M-Pesa
ORD0209,24/03/2026,CUST120,Nairobi,Online,Accessories,Laptop Sleeve,5,2600,13000,Cash
ORD0210,16/01/2026,CUST035,Nakuru,Online,Personal Care,Hair Dryer,2,4800,9600,M-Pesa
ORD0211,25/02/2026,CUST114,Kisumu,Online,Electronics,Keyboard,4,3200,12800,Card
ORD0212,07/01/2026,CUST031,Nakuru,Online,Accessories,Smart Watch Strap,3,1400,4200,Card
ORD0213,29/01/2026,CUST108,Kisumu,Online,Electronics,USB-C Hub,1,4500,4500,M-Pesa
ORD0214,05/01/2026,CUST098,Nakuru,In-Store,Personal Care,Perfume,2,5500,11000,M-Pesa
ORD0215,11/01/2026,CUST107,Mombasa,In-Store,Electronics,USB-C Hub,2,4500,9000,Cash
ORD0216,19/03/2026,CUST031,Kisumu,In-Store,Accessories,Phone Case,3,1100,3300,M-Pesa
ORD0217,23/02/2026,CUST108,Nakuru,In-Store,Accessories,Phone Case,1,1100,1100,M-Pesa
ORD0218,22/03/2026,CUST055,Nairobi,In-Store,Home & Office,Notebook Pack,3,900,2700,M-Pesa
ORD0219,15/03/2026,CUST068,Kisumu,In-Store,Accessories,Charging Cable,1,950,950,Cash
ORD0220,11/03/2026,CUST006,Nakuru,Online,Electronics,Power Bank,4,3500,14000,Card
ORD0221,03/01/2026,CUST031,Nairobi,Online,Personal Care,Hair Dryer,3,4800,14400,Cash
ORD0222,12/02/2026,CUST070,Kisumu,Online,Home & Office,Desk Lamp,3,2800,8400,M-Pesa
ORD0223,29/03/2026,CUST104,Mombasa,In-Store,Accessories,Earphones,2,3000,6000,Card
ORD0224,05/01/2026,CUST102,Mombasa,Online,Personal Care,Electric Shaver,1,6500,6500,Card
ORD0225,09/02/2026,CUST033,Nairobi,Online,Accessories,Smart Watch Strap,4,1400,5600,M-Pesa
ORD0226,06/02/2026,CUST035,Nairobi,Online,Personal Care,Hair Dryer,3,4800,14400,Card
ORD0227,21/02/2026,CUST024,Nakuru,Online,Accessories,Earphones,3,3000,9000,Card
ORD0228,08/03/2026,CUST011,Nakuru,In-Store,Personal Care,Hair Dryer,4,4800,19200,M-Pesa
ORD0229,11/03/2026,CUST011,Kisumu,Online,Personal Care,Body Lotion,1,1200,1200,Card
ORD0230,27/02/2026,CUST045,Nakuru,In-Store,Accessories,Charging Cable,4,950,3800,Card
ORD0231,20/03/2026,CUST010,Nakuru,In-Store,Accessories,Laptop Sleeve,1,2600,2600,Cash
ORD0232,28/03/2026,CUST109,Nakuru,In-Store,Home & Office,Desk Lamp,2,2800,5600,M-Pesa
ORD0233,31/01/2026,CUST073,Nairobi,In-Store,Personal Care,Body Lotion,4,1200,4800,Cash
ORD0234,27/02/2026,CUST098,Nairobi,In-Store,Personal Care,Body Lotion,4,1200,4800,Cash
ORD0235,16/02/2026,CUST032,Nairobi,In-Store,Accessories,Laptop Sleeve,3,2600,7800,M-Pesa
ORD0236,05/03/2026,CUST034,Kisumu,Online,Accessories,Smart Watch Strap,1,1400,1400,M-Pesa
ORD0237,20/03/2026,CUST016,Mombasa,Online,Personal Care,Perfume,2,5500,11000,Card
ORD0238,23/01/2026,CUST086,Kisumu,Online,Accessories,Phone Case,3,1100,3300,Cash
ORD0239,11/03/2026,CUST092,Mombasa,Online,Personal Care,Body Lotion,2,1200,2400,Cash
ORD0240,29/01/2026,CUST031,Nakuru,In-Store,Electronics,Keyboard,2,3200,6400,Cash
ORD0241,15/03/2026,CUST017,Nairobi,In-Store,Personal Care,Perfume,5,5500,27500,Card
ORD0242,03/03/2026,CUST010,Mombasa,Online,Accessories,Earphones,5,3000,15000,Cash
ORD0243,10/01/2026,CUST045,Mombasa,Online,Accessories,Earphones,5,3000,15000,Cash
ORD0244,23/03/2026,CUST065,Nairobi,Online,Home & Office,Notebook Pack,4,900,3600,Cash
ORD0245,20/01/2026,CUST042,Mombasa,In-Store,Personal Care,Electric Shaver,2,6500,13000,Cash
ORD0246,06/02/2026,CUST082,Kisumu,In-Store,Electronics,USB-C Hub,2,4500,9000,Card
ORD0247,20/03/2026,CUST076,Mombasa,In-Store,Electronics,Bluetooth Speaker,2,5200,10400,Cash
ORD0248,19/03/2026,CUST106,Nairobi,In-Store,Personal Care,Face Cleanser,1,1600,1600,Cash
ORD0249,15/03/2026,CUST054,Nairobi,In-Store,Personal Care,Electric Shaver,5,6500,32500,Cash
ORD0250,11/03/2026,CUST032,Nakuru,In-Store,Personal Care,Body Lotion,4,1200,4800,M-Pesa
ORD0251,30/03/2026,CUST054,Nakuru,In-Store,Electronics,Keyboard,4,3200,12800,Card
ORD0252,19/03/2026,CUST094,Kisumu,Online,Home & Office,Office Chair,3,14500,43500,M-Pesa
ORD0253,17/02/2026,CUST060,Nairobi,In-Store,Electronics,USB-C Hub,2,4500,9000,M-Pesa
ORD0254,19/01/2026,CUST050,Nakuru,In-Store,Electronics,Wireless Mouse,3,1800,5400,M-Pesa
ORD0255,11/02/2026,CUST064,Nakuru,In-Store,Personal Care,Electric Shaver,2,6500,13000,Card
ORD0256,05/03/2026,CUST065,Nakuru,Online,Electronics,Wireless Mouse,4,1800,7200,M-Pesa
ORD0257,16/03/2026,CUST037,Nakuru,In-Store,Personal Care,Hair Dryer,1,4800,4800,Cash
ORD0258,28/03/2026,CUST002,Nairobi,In-Store,Accessories,Laptop Sleeve,5,2600,13000,Card
